"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"73","Placopecten magellanicus","-0.24","10.19","10.77","11.04","11.66","27.79"
"74","Pinctada maxima","20.29","26.41","27.93","27.19","28.52","29.81"
"75","Pinctada margaritifera","14.76","25.39","27.66","27.13","29.09","29.79"
"76","Pinctada fucata","17.22","22.06","22.06","22.97","22.93","29.05"
"77","Perna viridis","12.67","26.13","27.7","27.07","28.87","29.69"
"78","Perna perna","14.51","20.22","23.12","21.95","23.49","28.69"
"79","Penaeus vannamei","22.3","23.99","26.7","26.3","28.55","29.46"
"80","Penaeus setiferus","12.76","23.26","23.92","23.6","24.02","28.27"
"81","Penaeus semisulcatus","19.75","27.38","27.75","27.39","27.87","29.49"
"82","Penaeus plebejus","15.25","19.65","20.26","20.87","21.58","27.32"
"83","Penaeus penicillatus","24.11","26.71","27.53","27.05","27.79","28.89"
"84","Penaeus monodon","17.73","22.32","23.24","24.33","27.25","29.82"
"85","Penaeus kerathurus","17.16","20.09","21.65","21.31","21.71","27.79"
"86","Penaeus japonicus","15.91","23.05","23.07","23.38","23.09","29.22"
"87","Penaeus indicus","18.27","27.52","28.23","27.65","28.34","29.24"
"88","Penaeus esculentus","19.8","27.22","27.49","27.2","27.76","28.52"
"89","Penaeus chinensis","12.54","13.86","13.87","14.47","24.49",NA
"90","Pecten maximus","4.5","10.53","11.72","11.72","12.71","23.33"
"91","Pecten jacobaeus","17.17","17.81","18.38","18.8","18.94","27.92"
"92","Pecten fumatus","12.93","14.76","15.73","17.19","20.29","28.39"
"93","Paralichthys olivaceus","13.33","18.65","19.69","20.17","22.51","27.08"
"94","Paracentrotus lividus","9.73","17.8","18.79","18.39","19.43","27.26"
"95","Paphia gallus","24.16","26.07","27.79","27.33","28.54","29.01"
"96","Panulirus polyphagus","27.02","27.84","27.84","28.81","29.57",NA
"97","Panulirus japonicus","19.53","20.66","22.46","23.13","24.55","29.01"
"98","Panulirus argus","10.32","27.42","27.8","27.51","28.05","28.89"
"99","Panopea generosa","9.87","10.09","10.31","10.56","12.54",NA
"100","Palaemon serratus","9.63","11.24","11.96","12.05","12.65","27.1"
"101","Palaemon adspersus","6.75","9.2","10.21","11.61","11.34","23.02"
"102","Pagrus pagrus","11.27","19.3","19.3","21.23","23.46","28.06"
"103","Pagrus major","13.69","19.3","22.38","21.26","23.48","28.46"
"104","Pagrus caeruleostictus","19.04","24.59","25.69","25.62","27.59","28.06"
"105","Pagrus auriga","17.24","25.52","27.04","26.05","27.75","28.06"
"106","Pagrus auratus","10.8","16.9","17.19","17.18","17.49","28.6"
"107","Pagrus auratus","10.8","16.9","17.19","17.18","17.49","28.6"
"108","Pagellus erythrinus","10.13","18.81","19.77","20.04","21.56","27.75"
"109","Pagellus bogaraveo","11.66","18.63","18.94","18.86","19.34","24.9"
"110","Ostrea lurida","9.32","9.57","10.55","10.55","11.29","17.34"
"111","Ostrea edulis","4.5","11.62","12.11","12.66","12.47","23.04"
"112","Ostrea conchaphila","23.22","27.12","23.3","27.2","27.44",NA
"113","Oplegnathus fasciatus","16.49","19.91","22.52","21.88","23.89","27.92"
"114","Oncorhynchus nerka","-0.31","9.23","9.31","9.751","10.48","11.67"
"115","Oncorhynchus mykiss","3.62","9.32","10.61","10.69","11.49","20.43"
"116","Oncorhynchus masou","4.08","6.12","6.31","9.288","12.412","20.69"
"117","Oncorhynchus kisutch","0.79","9.5","9.96","10.05","10.58","17.19"
"118","Oncorhynchus keta","-0.34","9.15","9.46","9.62","10.48","16.49"
"119","Oncorhynchus gorbuscha","-0.48","9.26","9.86","9.804","10.31","18.92"
"120","Naso vlamingii","14.18","28.05","28.55","28.32","28.73","29.8"
"121","Mytilus planulatus","7.91","15.69","15.75","15.47","15.77","20.29"
"122","Mytilus galloprovincialis","4.35","14.77","15.51","16.17","18","29"
"123","Mytilus edulis","-1.55","9.2","10.2","10.2","10.93","28.87"
"124","Mytilus coruscus","12.85","19.73","22.06","20.89","22.06","22.16"
"125","Mya arenaria","0.78","10.01","10.3","10.35","10.62","22.49"
"126","Muraenesox cinereus","13.62","26.34","27.65","26.56","28.18","29.97"
"127","Mugil liza","14.57","18.92","18.99","20.91","19.18","29.73"
"128","Mugil cephalus","6.73","23.95","24.04","23.93","24.22","29.8"
"129","Morone saxatilis","-1.6","13.62","15.23","14.54","16.2","25.41"
"130","Mizuhopecten yessoensis","7.53","8.107","13.83","14.5","18.282","24.93"
"131","Miichthys miiuy","15.09","17.4","23.12","21.38","25.04","27.66"
"132","Micropogonias furnieri","10.49","18.99","19.12","21.99","27.08","28.67"
"133","Metasepia tullbergi","24.44","26","25.41","26.48","29.28",NA
"134","Metapenaeus monoceros","21.63","23.08","26.75","25.19","27.51","28.8"
"135","Metapenaeus macleayi","15.85","19.65","20.37","20.67","22.01","28.09"
"136","Metapenaeus ensis","19.52","27.43","27.8","27.42","27.92","29.49"
"137","Meretrix lusoria","18.63","19.5","19.5","20.53","20.68","28.56"
"138","Mercenaria mercenaria","2.1","12.3","12.65","13.86","13.8","28.01"
"139","Melicertus kerathurus","17.16","20.09","21.65","21.31","21.71","27.79"
"140","Melanogrammus aeglefinus","0.79","9.89","10.29","10.27","10.68","23.55"
"141","Megalops atlanticus","8.67","25.61","26.89","26.24","27.18","28.67"
"142","Maja squinado","9.79","12.11","12.53","12.52","12.75","28.71"
"143","Mactra veneriformis","13.32","19.5","19.5","19.5","19.5","20.68"
"144","Mactra glabrata","16.66","17.95","18.88","19.74","21.89","23"
"145","Lutjanus sebae","14.21","25.49","26.55","26.3","27.17","29.8"
"146","Lutjanus russelli","19.65","25.4","26.45","26.59","28.39","29.8"
"147","Lutjanus purpureus","22.5","27","27.78","27.36","28.14","28.43"
"148","Lutjanus malabaricus","21.4","26.79","27.64","27.33","28.09","29.64"
"149","Lutjanus johnii","19.36","25.48","25.48","26.12","25.84","29.97"
"150","Lutjanus guttatus","16.89","27.12","27.12","27.17","27.59","29.46"
"151","Lutjanus erythropterus","20.41","26.44","26.95","26.99","28.05","29.35"
"152","Lutjanus bohar","20.29","28.01","28.06","28.02","28.59","29.97"
"153","Lutjanus argentimaculatus","15.49","22.51","25.48","24.23","25.48","29.8"
"154","Loxechinus albus","6.67","6.9","7.07","8.497","10.9","14.44"
"155","Liza vaigiensis","11.73","26.21","27.61","27.05","28.52","29.97"
"156","Liza ramada","10.16","11.88","12.76","14.64","16.39","26.76"
"157","Lethrinus miniatus","18.89","24.18","24.18","24.59","25.13","29.6"
"158","Lates calcarifer","15.76","25.48","25.48","25.5","25.48","29.87"
"159","Lateolabrax japonicus","10","18.12","19.71","19.57","20.7","27.66"
"160","Konosirus punctatus","9.24","15.51","19.46","19.81","22.52","27.08"
"161","Huso huso","8.18","15.22","15.22","14.53","15.78","16.34"
"162","Hippopus hippopus","13.24","27.78","28.63","28.19","29.18","29.81"
"163","Hippoglossus hippoglossus","-0.26","8.73","9.32","8.984","10","25.58"
"164","Hiatula diphos","14.85","27.16","27.78","26.6","28.14","28.54"
"165","Helicolenus dactylopterus","5.98","10.46","11.33","13.35","16.21","28.12"
"166","Haliotis tuberculata","11.57","13.06","13.22","16.19","19.08","29"
"167","Haliotis midae","15.71","17.04","18.99","19.48","21.94","23.23"
"168","Haliotis diversicolor","12.92","25.09","26.5","26.19","27.71","29.15"
"169","Epinephelus tukula","21.64","24","25.57","25.51","26.66","29.44"
"170","Epinephelus tauvina","21.56","25.64","27.3","26.9","28.26","29.64"
"171","Epinephelus malabaricus","20.27","25.61","27.29","26.78","28.43","29.97"
"172","Epinephelus lanceolatus","11.27","23.51","25.57","25.44","28.01","29.8"
"173","Epinephelus fuscoguttatus","12.09","26.45","27.89","27.37","28.94","29.97"
"174","Epinephelus corallicola","24.14","26.11","27.45","27.27","28.6","29.8"
"175","Epinephelus coioides","21.09","25.75","27.13","26.83","28.39","29.87"
"176","Epinephelus chlorostigma","21.12","25.79","27.66","27.05","28.54","29.64"
"177","Epinephelus awoara","17.24","24.07","24.62","24.26","27.02","27.08"
"178","Epinephelus areolatus","9.33","25.75","26.78","26.72","27.46","30.11"
"179","Epinephelus akaara","16.1","18.71","24.44","22.69","25.4","27.93"
"180","Ensis directus","8.13","12.35","13.82","14.43","15.11","27.69"
"181","Emmelichthys nitidus","8.9","14.65","16.28","15.98","17.42","29.36"
"182","Diplodus vulgaris","15.95","19.61","19.83","19.98","20.54","24.67"
"183","Diplodus sargus","12.41","18.94","19.68","19.92","20.97","27.04"
"184","Diplodus puntazzo","15.22","19.51","19.87","19.98","19.97","23.07"
"185","Dicentrarchus punctatus","13.33","16.02","19.94","20.17","22.11","29.18"
"186","Dicentrarchus labrax","8.55","11.88","11.88","12.44","12.01","23.07"
"187","Dentex tumifrons","15.54","22.34","22.72","22.67","23.83","27.25"
"188","Dentex gibbosus","17.24","25.1","26.75","25.97","27.66","28.06"
"189","Dentex dentex","12","18.48","18.97","19.44","20.56","28.86"
"190","Decapterus macrosoma","14.87","23.83","26.99","25.68","27.97","29.8"
"191","Cyclina sinensis","15.59","20.14","20.14","20.23","22.16","22.16"
"192","Cromileptes altivelis","22.53","25.3","26.16","26.28","27.18","29.8"
"193","Crassostrea virginica","-1.76","12.14","14.55","17.34","23.31","28.12"
"194","Crassostrea rhizophorae","18.89","23.75","26.21","25.79","27.44","28.92"
"195","Crassostrea gigas","6.68","11.65","12.85","14.24","15.14","28.51"
"196","Crassostrea corteziensis","27.59","27.59","27.59","27.59","27.59",NA
"197","Crassostrea angulata","12.12","12.13","13.81","12.95","22.63",NA
"198","Coregonus lavaretus","5.44","6.61","7.36","7.388","8.55","28.55"
"199","Chlamys varia","5.52","10.89","11.78","12.53","12.72","28.82"
"200","Chlamys farreri","10.65","15.01","20.05","20.54","26.36","28.9"
"201","Chelonia mydas","2.75","24.12","25.59","25.34","26.3","30"
"202","Chanos chanos","15.76","25.66","27.36","26.73","28.06","29.97"
"203","Chamelea gallina","4.5","10.31","10.48","11.46","11.95","22.69"
"204","Chaetodipterus faber","7.43","22.38","23.87","23.7","24.53","28.87"
"205","Cerastoderma glaucum","6.46","8.68","9.43","9.831","10.35","20.74"
"206","Cerastoderma edule","7.57","10.72","11.94","11.78","12.3","28.89"
"207","Centropristis striata","6.92","16.27","22.18","19.79","23.15","28.17"
"208","Centropomus undecimalis","18.12","24.55","25.05","25.38","25.8","28.67"
"209","Carcinus maenas","4.5","10.53","10.69","10.79","11.8","29"
"210","Carcinus aestuarii","14.49","17.44","17.81","18.46","19.47","23.02"
"211","Caranx sexfasciatus","18.17","27.28","27.9","27.42","28.72","30.11"
"212","Caranx ignobilis","15.48","25.09","25.97","25.71","26.09","29.9"
"213","Caranx hippos","7.52","23.51","24.56","24.39","26.71","29.87"
"214","Carangoides malabaricus","18.17","27.15","27.78","27.16","28.02","29.87"
"215","Callinectes sapidus","8.56","23.35","24","23.11","24.07","28.36"
"216","Bolinus brandaris","16.68","18.86","19.37","19.49","19.67","23.1"
"217","Bolbometopon muricatum","21.29","26.96","27.92","27.68","27.92","29.8"
"218","Aulacomya ater","0.74","13.61","13.96","13.14","14.7","20.22"
"219","Atherina boyeri","-1.66","17.44","17.44","17.73","18.5","24.95"
"220","Asaphis violascens","15.5","25.38","27.19","26.67","28.5","29.79"
"221","Argyrosomus regius","11.42","18.27","18.89","18.73","19.04","29.18"
"222","Argyrosomus japonicus","15.68","19.72","19.72","19.92","20.26","28.07"
"223","Argyrosomus hololepidotus","14.65","19.14","23.46","23.07","27.18","28.06"
"224","Argopecten ventricosus","12.62","23.81","24.29","24.35","27.12","28.67"
"225","Argopecten irradians","11.24","21.77","24.1","21.98","24.57","28.76"
"226","Apostichopus japonicus","18.8","20.04","20.06","21.32","22.59",NA
"227","Anguilla japonica","13.52","28.85","28.85","28.47","28.85","29.08"
"228","Anguilla bicolor bicolor","25.72","27.59","28.34","27.97","28.61","29.6"
"229","Anguilla australis","12.64","15.73","19.16","19.15","21.58","28.99"
"230","Anguilla anguilla","5.79","10.19","10.53","11.14","11.88","28.4"
"231","Anarhichas lupus","-0.37","5.272","8.22","7.548","9.52","21.21"
"232","Anadara tuberculosa","26.75","26.77","26.81","26.95","27.05","28.62"
"233","Anadara broughtonii","13.53","14.67","15.81","17.3","28.53",NA
"234","Aliger gigas","18.56","28.11","28.11","27.91","28.12","28.89"
"235","Aequipecten opercularis","4.5","11.26","12.53","12.38","12.78","28.91"
"236","Acipenser stellatus","15.22","15.22","15.22","15.7","16.01","19.44"
"237","Acetes japonicus","19.51","28.11","24.05","28.59","29.03",NA
"238","Acanthopagrus schlegelii","9.67","18.88","19.68","20.83","23.46","28.89"
"239","Acanthopagrus latus","15.08","20","25.03","23.92","27.02","29.23"
"240","Acanthopagrus bifasciatus","17.24","24.6","26.45","26.12","27.36","29.98"
"241","Acanthopagrus berda","17.21","22.56","23.57","23.99","26.69","29.48"
"242",NA,NA,NA,NA,NA,NA,NA
